"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDSP","Current","Both","ARMIX",1198.03
"LDDU","PBN","Both","ARMIX",1085
"LDRI","PBN","Both","ARMIX",1689.85
"LDSP","PBN","Both","ARMIX",1198.03
"LDDU","Current","Both","BAREB",1724.82
"LDSP","Current","Both","BAREB",1020.57
"LDDU","PBN","Both","BAREB",1724.82
"LDSP","PBN","Both","BAREB",1020.57
"LDDU","Current","Both","BAXON",6510.18
"LDSP","Current","Both","BAXON",11439.2
"LDDU","PBN","Both","BAXON",6510.18
"LDSP","PBN","Both","BAXON",11439.2
"LDDU","Current","Both","BUSET",8167.78
"LDSP","Current","Both","BUSET",11403.64
"LDZD","Current","Both","BUSET",9813.78
"LDDU","PBN","Both","BUSET",8167.78
"LDSP","PBN","Both","BUSET",11403.64
"LDZD","PBN","Both","BUSET",9813.78
"LDDU","Current","Both","DARZA",17405.92
"LDSB","Current","Both","DARZA",523.67
"LDSP","Current","Both","DARZA",17750.18
"LDZD","Current","Both","DARZA",2346.66
"LDDU","PBN","Both","DARZA",17405.92
"LDSB","PBN","Both","DARZA",523.67
"LDSP","PBN","Both","DARZA",17750.18
"LDZD","PBN","Both","DARZA",2346.66
"LDDU","Current","Both","EDUGI",2380.18
"LDDU","PBN","Both","EDUGI",2380.18
"LDSB","Current","Both","GEMKA",744.98
"LDZD","Current","Both","GEMKA",1313.63
"LDSB","PBN","Both","GEMKA",744.98
"LDZD","PBN","Both","GEMKA",1313.63
"LDPL","Current","Both","GIRDA",16209.69
"LDZD","Current","Both","GIRDA",3958.19
"LDPL","PBN","Both","GIRDA",16209.69
"LDZD","PBN","Both","GIRDA",3958.19
"LDDU","Current","Both","KATTI",18046.37
"LDDU","PBN","Both","KATTI",18046.37
"LDDU","Current","Both","KOPRY",1874.37
"LDPL","Current","Both","KOPRY",4323.86
"LDRI","Current","Both","KOPRY",440.07
"LDSB","Current","Both","KOPRY",512.13
"LDSP","Current","Both","KOPRY",17816.7
"LDZA","Current","Both","KOPRY",5470.83
"LDZD","Current","Both","KOPRY",606.7
"LDDU","PBN","Both","KOPRY",1874.37
"LDPL","PBN","Both","KOPRY",4323.86
"LDRI","PBN","Both","KOPRY",440.07
"LDSB","PBN","Both","KOPRY",512.13
"LDSP","PBN","Both","KOPRY",17816.7
"LDZA","PBN","Both","KOPRY",5470.83
"LDZD","PBN","Both","KOPRY",606.7
"LDDU","Current","Both","LABIN",15168.32
"LDRI","Current","Both","LABIN",189.05
"LDSB","Current","Both","LABIN",751.1
"LDSP","Current","Both","LABIN",8159.2
"LDZA","Current","Both","LABIN",1683.97
"LDZD","Current","Both","LABIN",1831.24
"LDDU","PBN","Both","LABIN",15168.32
"LDRI","PBN","Both","LABIN",189.05
"LDSB","PBN","Both","LABIN",751.1
"LDSP","PBN","Both","LABIN",8159.2
"LDZA","PBN","Both","LABIN",1683.97
"LDZD","PBN","Both","LABIN",1831.24
"LDZA","Current","Both","LAKIK",969.24
"LDZA","PBN","Both","LAKIK",969.24
"LDSP","Current","Both","LDDU",931.57
"LDZA","Current","Both","LDDU",11849.69
"LDZD","Current","Both","LDDU",455.83
"LDSP","PBN","Both","LDDU",931.57
"LDZA","PBN","Both","LDDU",11849.69
"LDZD","PBN","Both","LDDU",455.83
"LDZA","Current","Both","LDLO",283.25
"LDZA","PBN","Both","LDLO",283.25
"LDPL","Current","Both","LDOS",793.08
"LDSP","Current","Both","LDOS",1503.25
"LDZA","Current","Both","LDOS",967.83
"LDPL","PBN","Both","LDOS",793.08
"LDSP","PBN","Both","LDOS",1503.25
"LDZA","PBN","Both","LDOS",967.83
"LDOS","Current","Both","LDPL",793.08
"LDSP","Current","Both","LDPL",275.08
"LDZD","Current","Both","LDPL",733.23
"LDOS","PBN","Both","LDPL",793.08
"LDSP","PBN","Both","LDPL",275.08
"LDZD","PBN","Both","LDPL",733.23
"LDZA","Current","Both","LDSB",1139.15
"LDZD","Current","Both","LDSB",355.12
"LDZA","PBN","Both","LDSB",1139.15
"LDZD","PBN","Both","LDSB",355.12
"LDDU","Current","Both","LDSP",931.57
"LDOS","Current","Both","LDSP",1503.25
"LDPL","Current","Both","LDSP",275.08
"LDZA","Current","Both","LDSP",7839.81
"LDDU","PBN","Both","LDSP",931.57
"LDOS","PBN","Both","LDSP",1503.25
"LDPL","PBN","Both","LDSP",275.08
"LDZA","PBN","Both","LDSP",7839.81
"LDDU","Current","Both","LDZA",11849.69
"LDLO","Current","Both","LDZA",283.25
"LDOS","Current","Both","LDZA",967.83
"LDSB","Current","Both","LDZA",1139.15
"LDSP","Current","Both","LDZA",7839.81
"LDZD","Current","Both","LDZA",1050.8
"LDDU","PBN","Both","LDZA",11849.69
"LDLO","PBN","Both","LDZA",283.25
"LDOS","PBN","Both","LDZA",967.83
